VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_misc_printed_matter_and_stationery_and_drawing_materials_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Misc. Printed Matter And Stationery And Drawing Materials, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Misc. Printed Matter And Stationery And Drawing Materials,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_food_and_nonalcoholic_beverages_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Food And Non-Alcoholic Beverages, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Food And Non-Alcoholic Beverages,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_refuse_collection_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Refuse Collection, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Refuse Collection,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_fees_and_services_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Fees And Services, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Fees And Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_preserved_or_processed_fish_and_seafoodbased_preparations_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Preserved Or Processed Fish And Seafood-Based Preparations, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Preserved Or Processed Fish And Seafood-Based Preparations,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
whole_country_transaction_value_index_residential_property_all_dwelling_types_existing_compiled_by_statistics_finland_transaction_based_quarterly,"Whole country; Transaction value - Index; Residential property, All dwelling types, existing; Compiled by Statistics (Finland) (Transaction based), Quarterly",,"Residential property, All dwelling types, existing","Index, 2015=100",Quarterly,"Transaction value (Transaction based) - Non transformed data, Average of observations through period",Whole country,Not seasonally adjusted,Statistics Finland (Finland)
harmonized_index_of_consumer_prices_personal_effects_nec_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Personal Effects N.E.C., Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Personal Effects N.E.C.,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_cookers_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Cookers, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Cookers,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_services_for_maintenance_and_repair_of_the_dwelling_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Services For Maintenance And Repair Of The Dwelling, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Services For Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_food_processing_appliances_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Food Processing Appliances, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Food Processing Appliances,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_nonelectric_kitchen_utensils_and_articles_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Non-Electric Kitchen Utensils And Articles, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Non-Electric Kitchen Utensils And Articles,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_personal_effects_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Personal Effects, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Personal Effects,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_insurance_connected_with_health_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Insurance Connected With Health, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Insurance Connected With Health,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_processed_food_excluding_alcohol_and_tobacco_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Processed Food Excluding Alcohol And Tobacco, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Processed Food Excluding Alcohol And Tobacco,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_heat_energy_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Heat Energy, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Heat Energy,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_education_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Education, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Education,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_olive_oil_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Olive Oil, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Olive Oil,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_meat_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Meat, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Meat,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_mineral_waters_soft_drinks_fruit_and_vegetable_juices_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Mineral Waters, Soft Drinks, Fruit And Vegetable Juices, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Mineral Waters, Soft Drinks, Fruit And Vegetable Juices",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_household_appliances_small_electric_hous_appl_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Major Household Appliances, Small Electric Hous. Appl., Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Major Household Appliances, Small Electric Hous. Appl.",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_cleaning_of_clothing_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Cleaning Of Clothing, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Cleaning Of Clothing,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_newspapers_books_and_stationery_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Newspapers, Books And Stationery, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Newspapers, Books And Stationery",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_services_for_the_maintenance_and_repair_of_the_dwelling_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Services For The Maintenance And Repair Of The Dwelling, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Services For The Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
weighted_median_annual_rate_of_change_european_central_bank_neither_seasonally_nor_working_day_adjusted_percent,"Weighted Median, Annual Rate Of Change, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Percent",Weighted Median,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_recording_media_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Recording Media, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Recording Media,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_maintenance_and_repair_of_personal_transport_equipment_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Maintenance And Repair Of Personal Transport Equipment, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Maintenance And Repair Of Personal Transport Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_personal_care_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Personal Care, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Personal Care,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hairdressing_for_women_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_count,"Harmonized Index Of Consumer Prices - Hairdressing For Women, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Count",Hairdressing For Women,Harmonized Index Of Consumer Prices,Count,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_alcoholic_beverages_tobacco_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Alcoholic Beverages, Tobacco, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Alcoholic Beverages, Tobacco",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
