VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"JOLTS:_Job_openings,_Trade,_transportation,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Trade, transportation, and utilities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,"Trade, transportation, and utilities",All size classes
"JOLTS:_Total_separations,_Finance_and_insurance,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Finance and insurance, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Finance and insurance,All size classes
"JOLTS:_Other_separations,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Transportation, warehousing, and utilities, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Layoffs_and_discharges,_Leisure_and_hospitality,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Leisure and hospitality, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Leisure and hospitality,All size classes
"JOLTS:_Quits,_Education_and_health_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Quits, Education and health services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Quits,Education and health services,All size classes
"JOLTS:_Job_openings,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Transportation, warehousing, and utilities, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Total_separations,_Total_private,_10_to_49_employees,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Total private, 10 to 49 employees, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,Total private,10 to 49 employees
"JOLTS:_Layoffs_and_discharges,_Leisure_and_hospitality,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Leisure and hospitality, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,Leisure and hospitality,All size classes
"JOLTS:_Quits,_Total_private,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Total private, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Total private,All size classes
"JOLTS:_Total_separations,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Manufacturing, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,Manufacturing,All size classes
"JOLTS:_Total_separations,_Nondurable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Nondurable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Total separations,Nondurable goods manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_Construction,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Construction, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,Construction,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, State and local government, excluding education, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,"State and local government, excluding education",All size classes
"JOLTS:_Total_separations,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Mining and logging, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,Mining and logging,All size classes
"JOLTS:_Job_openings,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Manufacturing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, State and local, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,State and local,All size classes
"JOLTS:_Total_separations,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Real estate and rental and leasing,All size classes
"JOLTS:_Quits,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Nondurable goods manufacturing,All size classes
"JOLTS:_Hires,_Retail_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Retail trade, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Retail trade,All size classes
"JOLTS:_Hires,_Retail_trade,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Hires, Retail trade, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Hires,Retail trade,All size classes
"JOLTS:_Total_separations,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, State and local government education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,State and local government education,All size classes
"JOLTS:_Total_separations,_Finance_and_insurance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Finance and insurance, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Finance and insurance,All size classes
"JOLTS:_Layoffs_and_discharges,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Health care and social assistance, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Health care and social assistance,All size classes
"JOLTS:_Job_openings,_Trade,_transportation,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Trade, transportation, and utilities, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Job openings,"Trade, transportation, and utilities",All size classes
"JOLTS:_Other_separations,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Other_separations,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Health care and social assistance, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Health care and social assistance,All size classes
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Support_Activities_for_Mining,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Mining and Logging: Support Activities for Mining, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Mining and Logging: Support Activities for Mining,
"State_and_Metro_Employment:_All_Employees,_Construction:_Foundation,_Structure,_and_Building_Exterior_Contractors,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Construction: Foundation, Structure, and Building Exterior Contractors, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Construction: Foundation, Structure, and Building Exterior Contractors",
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Business_Support_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Business Support Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Professional and Business Services: Business Support Services,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Mining_and_Logging:_Mining,_Quarrying,_and_Oil_and_Gas_Extraction,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Mining and Logging: Mining, Quarrying, and Oil and Gas Extraction, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,"Mining and Logging: Mining, Quarrying, and Oil and Gas Extraction",
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Retail_Trade:_Food_and_Beverage_Stores,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Retail Trade: Food and Beverage Stores, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Retail Trade: Food and Beverage Stores,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Dairy_Product_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Dairy Product Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Dairy Product Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Private_Service_Providing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Private Service Providing, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Private Service Providing,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Commercial_Banking,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Commercial Banking, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Financial Activities: Commercial Banking,
"JOLTS:_Hires,_Health_care_and_social_assistance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Health care and social assistance, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Health care and social assistance,All size classes
"JOLTS:_Other_separations,_Leisure_and_hospitality,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Leisure and hospitality, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Leisure and hospitality,All size classes
"JOLTS:_Quits,_Arts,_entertainment,_and_recreation,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Arts, entertainment, and recreation, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Quits,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Mining and logging, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Mining and logging,All size classes
